"","X","amt_above_atv10_pred","app_id","assessment","atv","businessLicense","businessScope","businessType","cash","companyCode","companyPhone","crawled_at","credit","emergencyContact","emergencyContactPhone","gmv_amt","gmv_avg","gmv_cnt","gmv_month","gmv_rstd","has_sz","income","income_before_wash","is_assessment_better","is_pop","limit","limit_before_loan","limit_before_loan_fluct","loan_amt","loan_balance","loan_cnt","loan_quality","mainBusiness","max_active_days","max_overdue_amt","max_overdue_amt_p","max_overdue_days","overdue_current","overdue_loan_amt","overdue_loan_amt_p","overdue_loan_cnt","platform","punish_fake_amt","punish_fake_cnt","punish_normal_amt","punish_normal_cnt","punish_serious_amt","punish_serious_cnt","punish_total_amt","punish_total_cnt","punish_wash_amt","punish_wash_cnt","refund_amt","refund_rate","registeredCapital","remDays","shop_type","taxpayerCode","transport_id","weight_account","weight_busi","weight_fluct","weight_loan","weight_refuse","weight_time","target","num"
"11",10,354.9,173725,"9.89",43.6687127011,"310120002710035","母婴","专营店",NA,"33250478—2","18616341854","2017-01-11 14:58:05",NA,NA,NA,276935.43,23077.9525,12,14,0.535449969246,"",22719.7129533,23074.6129533,"True","True",18183.5510862,18183.5510862,18183.5510862,0,NA,0,"False","母婴",590,0,0,0,"False",0,0,0,"JINGDONG",0,0,3,3,0,0,3,3,0,0,505.5,0.0144707236221,"100万元","80
                                                天","SOP",310226332504782,163172,0.95,1,1,1,1,1.12328767123,0,1
"12",11,9924,173646,"9.25",61.7847973154,"330782000522174","运动户外","专营店",198.8,"32350022-9","15028862818","2017-01-11 12:40:09",0,NA,NA,430253.44,35854.4533333,12,14,0.508047810236,"",22345.008,32269.008,"True","True",10865.1896,17883.6588,17883.6588,0,31897.64,0,"False","运动户外",590,0,0,0,"False",0,0,0,"JINGDONG",0,0,2,1,0,0,2,1,0,0,NA,NA,"100万元","80
                                                天","SOP",330725323500229,163179,0.95,1,1,1,1,1.12328767123,0,1
"13",12,123.333333333,173660,"9.7",128.615499513,"321121000101131","鞋靴","专营店",0,"33085515-9","0511-85195222","2017-01-11 13:12:09",0,NA,NA,1320429.18,110035.765,12,14,0.466927071625,"",109889.747827,110013.08116,"True","True",52319.3873924,87949.4317369,87949.4317369,167565,159096.62,4,"False","鞋靴",590,22358.63,125.208328,14,"True",85497.9,453.821008,6,"JINGDONG",0,0,74,5,0,0,74,5,0,0,474,0.0206149697734,"100万元","80
                                                天","SOP",321121330855159,163188,0.95,1,1,1,0,1.12328767123,0,1
"14",13,0,173674,"9.5",174.200426925,"330196000016799","服饰内衣","厂商直营旗舰店",0.85,"56875222-1","15257138746","2017-01-11 13:32:11",665711,NA,NA,2101379.75,233486.638889,9,14,0.12136887863,"",233364.335489,233364.335489,"True","True",112892.647586,155794.669727,186953.603672,364942,334289.11,7,"True","服饰内衣",285,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,1,0,1,0,1,17238.15,0.0523813271522,"100万元","80
                                                天","SOP",330100568752221,163195,0.95,1,1.2,1.2,1,0.780821917808,0,1
"15",14,0,173713,"9.51",1842.68668263,"440301106031240","电脑、办公","专营店",8153.25,"59185497-1","18823423125","2017-01-11 14:38:11",0,NA,NA,10003946,1000394.6,10,14,0.243355426016,"",1000352.65221,1000352.65221,"True","True",740480.218014,617066.848345,740480.218014,1300000,879999.4,7,"False","电脑、办公",316,0,0,0,"False",0,0,0,"JINGDONG",0,0,9,5,0,0,9,5,0,0,2466.84,0.0041931239865,"500万元","80
                                                天","SOP",440300591854971,163226,0.95,1,1.2,1,1,0.865753424658,0,1
"16",15,0,173748,"9.49",100.158923453,"440106000986626","母婴","厂商授权旗舰店",825.43,"30443766-6","18680571349","2017-01-11 15:32:11",0,NA,NA,247850.6,20654.2166667,12,14,0.428030190726,"",20641.5073891,20641.5073891,"True","True",17648.4888177,17648.4888177,17648.4888177,0,0,0,"False","母婴",772,0,0,0,"False",0,0,0,"JINGDONG",0,0,13,2,0,0,13,2,0,0,581,0.0615335733955,"50万元","80
                                                天","SOP",440106304437666,163253,0.95,1,1,1,1,1.2,0,1
"17",16,0,173792,"9.59",816.537599686,"450500200050398","珠宝首饰","厂商直营旗舰店",64969.52,"591319960-0","0779-2032418","2017-01-11 16:28:15",196546,NA,NA,13213360.64,1101113.38667,12,14,0.262190866546,"",1100470.25241,1100470.25241,"True","True",918837.512893,1129082.47897,1354898.97477,334916,803453.58,5,"True","珠宝首饰",772,0,0,0,"False",0,0,0,"JINGDONG",0,0,11,5,0,0,11,5,0,0,57332.26,0.0584076321188,"600万元","80
                                                天","SOP",450502591319960,163274,0.95,1,1.2,1.2,1,1.2,0,1
"18",17,0,173830,"9.7",138.797366071,"914416253347571343","个护化妆","专营店",NA,"914416253347571343","15976723515","2017-01-11 17:07:29",NA,NA,NA,186543.66,62181.22,3,14,1.25588623372,"",55963.098,55963.098,"True","True",0,0,0,0,NA,0,"False","个护化妆",102,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,NA,NA,"360万元","80
                                                天","SOP",914416253347571328,163302,1.045,1,0.5,1,1,0,0,1
"19",18,0,173856,"9.62",1900.77288804,"440301108433762","家具","厂商直营旗舰店",31646.73,"08463711-2","0757-28912723","2017-01-11 17:35:31",0,NA,NA,11401355.23,950112.935833,12,14,0.0957750525383,"",950112.882525,950112.882525,"True","True",626073.89903,812346.514559,974815.817471,677122,1028123.12,4,"True","家具",772,0,0,0,"False",0,0,0,"JINGDONG",0,0,1,1,0,0,1,1,0,0,5,5.61074597e-06,"100万元","80
                                                天","SOP",440300084637112,163349,0.95,1,1.2,1,1,1.2,0,1
"20",19,0,173918,"9.68",339.436956522,"9144030033504219","家装建材","厂商授权旗舰店",7964.57,"9144030033504219XU","13828362534","2017-01-11 19:28:42",0,NA,NA,242018.55,40336.425,6,14,0.875725223861,"",40312.7764091,40312.7764091,"True","True",12213.1145625,15266.3932032,12213.1145625,0,0,0,"False","家装建材",194,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,1,0,1,0,1,1131,0.0586283759266,"50万元","80
                                                天","SOP",9144030033504220,163400,0.95,1,0.8,1,1,0.531506849315,0,1
"21",20,218.708333333,174011,"9.49",56.1939959693,"330106000312076","个护化妆","专营店",3510.26,"09613079-X","15157128838","2017-01-12 00:26:46",0,NA,NA,1003793.35,83649.4458333,12,14,0.21668537963,"",83429.2769145,83647.9852478,"True","True",71801.0642995,59834.2202496,71801.0642995,0,1822.75,0,"False","个护化妆",377,0,0,0,"False",0,0,0,"JINGDONG",0,0,13,3,0,1,13,4,0,0,188.2,0.00174607909219,"50万元","79
                                                天","SOP",33010009613079,163457,0.95,1,1.2,1,1,1.00657534247,0,1
"22",21,577.5,174105,"9.59",87.2219649541,"441302000121650","服饰内衣","卖场型旗舰店",3.18,"09236989-1","13790775066","2017-01-12 11:35:13",0,NA,NA,1022834.32,85236.1933333,12,14,0.20159876784,"",84639.096987,85216.596987,"True","True",2962.01638446,67773.3076128,81327.9691353,342509,197209.8,5,"False","服饰内衣",591,0,0,0,"False",0,0,0,"JINGDONG",0,0,3,2,50,1,53,3,0,0,2147.1,0.0229906399152,"50万元","79
                                                天","SOP",441302092369891,163526,0.95,1,1.2,1,0,1.12383561644,0,1
"23",22,0,174131,"9.41",249.909230769,"913502125878923859","鞋靴","专营店",NA,"913502125878923859","13338582630","2017-01-12 11:58:45",NA,NA,NA,32488.2,6497.64,5,14,0.767766025617,"",6479.85907263,6479.85907263,"True","True",0,0,0,0,NA,0,"False","鞋靴",164,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,2152,0.273652085453,"500万元","79
                                                天","SOP",913502125878923904,163539,1.045,1,0.8,1,1,0,0,1
"24",23,0,174132,"9.42",244.21875,"913502125878923859","鞋靴","专卖店",NA,"913502125878923859","13338582630","2017-01-12 12:00:46",NA,NA,NA,7815,3907.5,2,14,1.64195034135,"",3516.75,3516.75,"True","True",0,0,0,0,NA,0,"False","鞋靴",72,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,NA,NA,"500万元","79
                                                天","SOP",913502125878923904,163539,1.045,1,0.5,1,1,0,0,1
"25",24,0,174135,"9.64",246.976363636,"913502125878923859","鞋靴","专营店",NA,"913502125878923859","13338582630","2017-01-12 12:00:40",NA,NA,NA,27167.4,6791.85,4,14,1.33835802363,"",6776.33400389,6776.33400389,"True","True",0,0,0,0,NA,0,"False","鞋靴",133,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,1217,0.22845021775,"500万元","79
                                                天","SOP",913502125878923904,163539,1.045,1,0.5,1,1,0,0,1
"26",25,0,174382,"9.31",184.512516129,"91350503315306880","运动户外","专营店",NA,"91350503315306880D","0595-86503659","2017-01-12 17:52:44",NA,NA,NA,109002.4,9083.53333333,12,14,0.553152573971,"",9075.20118549,9075.20118549,"True","True",7759.29701359,7759.29701359,7759.29701359,0,NA,0,"False","运动户外",773,0,0,0,"False",0,0,0,"JINGDONG",0,0,2,2,0,0,2,2,0,0,1731,0.0917280483281,"50万元","79
                                                天","SOP",91350503315306880,163539,0.95,1,1,1,1,1.2,0,1
